name	type	units	low_cutoff	high_cutoff
POL H1	SEEG	µV	n/a	n/a
POL H2	SEEG	µV	n/a	n/a
POL H3	SEEG	µV	n/a	n/a
POL H4	SEEG	µV	n/a	n/a
POL H5	SEEG	µV	n/a	n/a
POL H6	SEEG	µV	n/a	n/a
POL H7	SEEG	µV	n/a	n/a
POL H8	SEEG	µV	n/a	n/a
POL H9	SEEG	µV	n/a	n/a
POL H10	SEEG	µV	n/a	n/a
POL H13	SEEG	µV	n/a	n/a
POL H14	SEEG	µV	n/a	n/a
POL B1	SEEG	µV	n/a	n/a
POL B2	SEEG	µV	n/a	n/a
POL B3	SEEG	µV	n/a	n/a
POL B4	SEEG	µV	n/a	n/a
POL B5	SEEG	µV	n/a	n/a
POL B6	SEEG	µV	n/a	n/a
POL B7	SEEG	µV	n/a	n/a
POL B8	SEEG	µV	n/a	n/a
POL B9	SEEG	µV	n/a	n/a
POL H11	SEEG	µV	n/a	n/a
POL H12	SEEG	µV	n/a	n/a
POL B10	SEEG	µV	n/a	n/a
POL B11	SEEG	µV	n/a	n/a
POL B12	SEEG	µV	n/a	n/a
POL B13	SEEG	µV	n/a	n/a
POL B14	SEEG	µV	n/a	n/a
EEG C1-Ref	SEEG	µV	n/a	n/a
EEG C2-Ref	SEEG	µV	n/a	n/a
EEG C3-Ref	SEEG	µV	n/a	n/a
EEG C4-Ref	SEEG	µV	n/a	n/a
EEG C5-Ref	SEEG	µV	n/a	n/a
EEG C6-Ref	SEEG	µV	n/a	n/a
POL C7	SEEG	µV	n/a	n/a
POL C8	SEEG	µV	n/a	n/a
POL DC09	SEEG	µV	n/a	n/a
POL DC10	SEEG	µV	n/a	n/a
POL DC11	SEEG	µV	n/a	n/a
POL DC12	SEEG	µV	n/a	n/a
POL DC13	SEEG	µV	n/a	n/a
POL DC14	SEEG	µV	n/a	n/a
POL DC15	SEEG	µV	n/a	n/a
POL DC16	SEEG	µV	n/a	n/a
POL D1	SEEG	µV	n/a	n/a
POL D2	SEEG	µV	n/a	n/a
POL D3	SEEG	µV	n/a	n/a
POL D4	SEEG	µV	n/a	n/a
POL D5	SEEG	µV	n/a	n/a
POL D6	SEEG	µV	n/a	n/a
