name	type	units	low_cutoff	high_cutoff
POL D7	SEEG	µV	n/a	n/a
POL D8	SEEG	µV	n/a	n/a
POL D9	SEEG	µV	n/a	n/a
POL D10	SEEG	µV	n/a	n/a
POL E1	SEEG	µV	n/a	n/a
POL E2	SEEG	µV	n/a	n/a
POL E3	SEEG	µV	n/a	n/a
POL E4	SEEG	µV	n/a	n/a
POL E5	SEEG	µV	n/a	n/a
POL E6	SEEG	µV	n/a	n/a
POL E7	SEEG	µV	n/a	n/a
POL E8	SEEG	µV	n/a	n/a
POL E9	SEEG	µV	n/a	n/a
POL E10	SEEG	µV	n/a	n/a
POL E11	SEEG	µV	n/a	n/a
POL E12	SEEG	µV	n/a	n/a
POL E13	SEEG	µV	n/a	n/a
POL E14	SEEG	µV	n/a	n/a
POL E15	SEEG	µV	n/a	n/a
POL E16	SEEG	µV	n/a	n/a
EEG F1-Ref	SEEG	µV	n/a	n/a
EEG F2-Ref	SEEG	µV	n/a	n/a
EEG F3-Ref	SEEG	µV	n/a	n/a
EEG F4-Ref	SEEG	µV	n/a	n/a
EEG F5-Ref	SEEG	µV	n/a	n/a
EEG F6-Ref	SEEG	µV	n/a	n/a
EEG F7-Ref	SEEG	µV	n/a	n/a
EEG F8-Ref	SEEG	µV	n/a	n/a
EEG F9-Ref	SEEG	µV	n/a	n/a
EEG F10-Ref	SEEG	µV	n/a	n/a
POL G1	SEEG	µV	n/a	n/a
POL G2	SEEG	µV	n/a	n/a
POL G3	SEEG	µV	n/a	n/a
POL G4	SEEG	µV	n/a	n/a
POL G5	SEEG	µV	n/a	n/a
POL G6	SEEG	µV	n/a	n/a
POL G7	SEEG	µV	n/a	n/a
POL G8	SEEG	µV	n/a	n/a
POL G9	SEEG	µV	n/a	n/a
POL G10	SEEG	µV	n/a	n/a
POL I1	SEEG	µV	n/a	n/a
POL I2	SEEG	µV	n/a	n/a
POL I3	SEEG	µV	n/a	n/a
POL I4	SEEG	µV	n/a	n/a
POL I5	SEEG	µV	n/a	n/a
POL I6	SEEG	µV	n/a	n/a
POL I7	SEEG	µV	n/a	n/a
POL I8	SEEG	µV	n/a	n/a
POL I9	SEEG	µV	n/a	n/a
POL I10	SEEG	µV	n/a	n/a
POL I11	SEEG	µV	n/a	n/a
POL I12	SEEG	µV	n/a	n/a
POL I13	SEEG	µV	n/a	n/a
POL I14	SEEG	µV	n/a	n/a
POL J1	SEEG	µV	n/a	n/a
POL J2	SEEG	µV	n/a	n/a
POL J3	SEEG	µV	n/a	n/a
POL J4	SEEG	µV	n/a	n/a
POL J5	SEEG	µV	n/a	n/a
POL J6	SEEG	µV	n/a	n/a
POL J7	SEEG	µV	n/a	n/a
POL J8	SEEG	µV	n/a	n/a
POL J9	SEEG	µV	n/a	n/a
POL J10	SEEG	µV	n/a	n/a
POL J11	SEEG	µV	n/a	n/a
POL J12	SEEG	µV	n/a	n/a
POL J13	SEEG	µV	n/a	n/a
POL J14	SEEG	µV	n/a	n/a
POL J15	SEEG	µV	n/a	n/a
POL J16	SEEG	µV	n/a	n/a
POL k1	SEEG	µV	n/a	n/a
POL k2	SEEG	µV	n/a	n/a
POL k3	SEEG	µV	n/a	n/a
POL k4	SEEG	µV	n/a	n/a
POL k5	SEEG	µV	n/a	n/a
POL k6	SEEG	µV	n/a	n/a
POL k7	SEEG	µV	n/a	n/a
POL k8	SEEG	µV	n/a	n/a
POL k9	SEEG	µV	n/a	n/a
POL k10	SEEG	µV	n/a	n/a
POL k11	SEEG	µV	n/a	n/a
POL k12	SEEG	µV	n/a	n/a
POL k13	SEEG	µV	n/a	n/a
POL k14	SEEG	µV	n/a	n/a
POL k15	SEEG	µV	n/a	n/a
POL k16	SEEG	µV	n/a	n/a
POL X1	SEEG	µV	n/a	n/a
POL X2	SEEG	µV	n/a	n/a
POL X3	SEEG	µV	n/a	n/a
POL X4	SEEG	µV	n/a	n/a
POL X5	SEEG	µV	n/a	n/a
POL X6	SEEG	µV	n/a	n/a
POL X7	SEEG	µV	n/a	n/a
POL X8	SEEG	µV	n/a	n/a
POL X9	SEEG	µV	n/a	n/a
POL X10	SEEG	µV	n/a	n/a
POL X11	SEEG	µV	n/a	n/a
POL X12	SEEG	µV	n/a	n/a
POL X13	SEEG	µV	n/a	n/a
POL X14	SEEG	µV	n/a	n/a
POL X15	SEEG	µV	n/a	n/a
POL X16	SEEG	µV	n/a	n/a
POL Y1	SEEG	µV	n/a	n/a
POL Y2	SEEG	µV	n/a	n/a
POL Y3	SEEG	µV	n/a	n/a
POL Y4	SEEG	µV	n/a	n/a
POL Y5	SEEG	µV	n/a	n/a
POL Y6	SEEG	µV	n/a	n/a
POL Y7	SEEG	µV	n/a	n/a
POL Y8	SEEG	µV	n/a	n/a
POL Y9	SEEG	µV	n/a	n/a
POL Y10	SEEG	µV	n/a	n/a
POL Y11	SEEG	µV	n/a	n/a
POL Y12	SEEG	µV	n/a	n/a
POL Y13	SEEG	µV	n/a	n/a
POL Y14	SEEG	µV	n/a	n/a
POL Y15	SEEG	µV	n/a	n/a
POL Y16	SEEG	µV	n/a	n/a
POL Z1	SEEG	µV	n/a	n/a
POL Z2	SEEG	µV	n/a	n/a
POL Z3	SEEG	µV	n/a	n/a
POL Z4	SEEG	µV	n/a	n/a
POL Z5	SEEG	µV	n/a	n/a
POL Z6	SEEG	µV	n/a	n/a
POL Z7	SEEG	µV	n/a	n/a
POL Z8	SEEG	µV	n/a	n/a
POL Z9	SEEG	µV	n/a	n/a
POL Z10	SEEG	µV	n/a	n/a
POL Z11	SEEG	µV	n/a	n/a
POL Z12	SEEG	µV	n/a	n/a
POL Z13	SEEG	µV	n/a	n/a
POL Z14	SEEG	µV	n/a	n/a
POL Z15	SEEG	µV	n/a	n/a
POL Z16	SEEG	µV	n/a	n/a
POL EKG1	SEEG	µV	n/a	n/a
POL EKG2	SEEG	µV	n/a	n/a
